phoneTimestamp,duration
1711125125689,896
1711125126585,929
1711125127515,945
1711125128460,944
1711125129404,898
1711125130302,932
1711125131233,966
1711125132200,965
1711125133165,896
1711125134061,840
1711125134901,852
1711125135753,846
1711125136599,840
1711125137439,902
1711125138341,843
1711125139184,752
1711125139936,763
1711125140699,776
1711125141475,808
1711125142283,844
1711125143127,843
1711125143969,831
1711125144801,832
1711125145633,820
1711125146453,810
1711125147263,718
1711125147981,737
1711125148718,764
1711125149481,844
1711125150326,873
1711125151199,888
1711125152087,867
1711125152953,878
1711125153832,786
1711125154617,749
1711125155367,792
1711125156159,815
1711125156974,859
1711125157833,884
1711125158717,883
1711125159600,906
1711125160505,918
1711125161424,898
1711125162321,877
1711125163199,846
1711125164045,865
1711125164910,797
1711125165707,817
1711125166524,861
1711125167385,895
1711125168280,910
1711125169190,843
1711125170033,834
1711125170867,835
1711125171702,873
1711125172575,799
1711125173374,846
1711125174220,871
1711125175091,887
1711125175977,876
1711125176854,829
1711125177683,821
1711125178504,809
1711125179313,854
1711125180167,855
1711125181022,848
1711125181870,886
1711125182756,928
1711125183684,926
1711125184609,928
1711125185537,873
1711125186411,801
1711125187212,776
1711125187988,802
1711125188790,862
1711125189652,900
1711125190552,899
1711125191451,930
1711125192381,935
1711125193316,912
1711125194228,803
1711125195031,837
1711125195868,826
1711125196694,861
1711125197555,882
1711125198437,876
1711125199313,800
1711125200113,864
1711125200977,896
1711125201873,874
1711125202747,878
1711125203625,865
1711125204489,865
1711125205355,897
1711125206252,890
1711125207142,911
1711125208053,882
1711125208935,892
1711125209827,862
1711125210689,856
1711125211545,735
1711125212280,776
1711125213056,766
1711125213822,853
1711125214675,867
1711125215542,890
1711125216432,900
1711125217332,914
1711125218246,883
1711125219129,868
1711125219997,891
1711125220888,884
1711125221772,821
1711125222593,845
1711125223438,829
1711125224267,746
1711125225013,756
1711125225769,718
1711125226487,795
1711125227281,848
1711125228129,903
1711125229033,937
1711125229969,974
1711125230944,958
1711125231902,881
1711125232783,861
1711125233644,821
1711125234465,773
1711125235238,825
1711125236063,848
1711125236911,889
1711125237800,901
1711125238701,918
1711125239619,915
1711125240534,927
1711125241461,807
1711125242268,821
1711125243089,761
1711125243849,820
1711125244670,863
1711125245533,829
1711125246361,894
1711125247256,904
1711125248160,810
1711125248969,840
1711125249809,791
1711125250601,859
1711125251460,906
1711125252366,907
1711125253273,886
1711125254159,813
1711125254972,809
1711125255781,861
1711125256641,900
1711125257542,926
1711125258468,868
1711125259336,839
1711125260175,809
1711125260984,809
1711125261793,865
1711125262657,916
1711125263574,933
1711125264507,847
1711125265353,786
1711125266140,813
1711125266953,862
1711125267815,806
1711125268621,864
1711125269485,907
1711125270392,934
1711125271326,926
1711125272252,892
1711125273144,791
1711125273935,784
1711125274719,839
1711125275558,915
1711125276473,918
1711125277391,927
1711125278318,814
1711125279132,881
1711125280013,938
1711125280951,841
1711125281792,894
1711125282686,933
1711125283619,936
1711125284555,946
1711125285501,921
1711125286422,792
1711125287214,802
1711125288016,877
1711125288893,905
1711125289798,883
1711125290681,902
1711125291583,911
1711125292494,906
1711125293400,931
1711125294331,931
1711125295262,935
1711125296197,906
1711125297103,835
1711125297937,871
1711125298809,867
1711125299676,934
1711125300609,982
1711125301592,961
1711125302553,836
1711125303389,892
1711125304281,839
1711125305120,882
1711125306001,896
1711125306897,918
1711125307816,892
1711125308708,894
1711125309601,868
1711125310470,937
1711125311407,967
1711125312374,881
1711125313255,892
1711125314147,1005
1711125315152,902
1711125316054,864
1711125316918,889
1711125317807,966
1711125318773,1036
1711125319809,1028
1711125320837,931
1711125321768,970
1711125322737,1013
1711125323751,977
1711125324728,932
1711125325660,992
1711125326652,958
1711125327609,893
1711125328503,1033
1711125329536,1107
1711125330643,1138
1711125331781,1033
1711125332814,1092
1711125333905,1130
1711125335036,1018
1711125336054,964
1711125337017,988
1711125338006,1005
1711125339011,838
1711125339849,776
1711125340625,1063
1711125341688,1115
1711125342803,983
1711125343785,1037
1711125344823,1105
1711125345928,1019
1711125346947,974
1711125347921,1038
1711125348959,1041
1711125350000,980
1711125350980,897
1711125351877,971
1711125352848,1086
1711125353934,1039
1711125354973,1079
1711125356052,1124
1711125357176,1099
1711125358275,1078
1711125359353,1104
1711125360457,1067
1711125361524,1010
1711125362534,1036
1711125363569,1110
1711125364680,1110
1711125365790,1073
1711125366863,1134
1711125367997,1147
1711125369144,1064
1711125370208,1079
1711125371287,1136
1711125372423,1074
1711125373497,1055
1711125374552,1076
1711125375628,1062
1711125376689,997
1711125377687,1015
1711125378702,1053
1711125379755,1102
1711125380857,1082
1711125381939,1097
1711125383036,1064
1711125384100,1045
1711125385145,1108
1711125386253,1119
1711125387372,1061
1711125388433,1035
1711125389468,1059
1711125390527,1080
1711125391607,1102
1711125392709,1107
1711125393816,1045
1711125394861,1019
1711125395880,1058
1711125396937,1062
1711125398000,1027
1711125399027,994
1711125400021,1040
1711125401061,1067
1711125402128,1046
1711125403174,1059
1711125404233,1077
1711125405310,1076
1711125406385,997
1711125407383,1008
1711125408391,1020
1711125409411,1024
1711125410435,968
1711125411403,1007
1711125412409,1051
1711125413461,1029
1711125414489,1032
1711125415521,1063
1711125416585,1051
1711125417636,1029
1711125418665,1016
1711125419681,1053
1711125420734,1072
1711125421806,1082
1711125422888,1032
1711125423920,1071
1711125424991,1066
1711125426057,1065
1711125427121,1046
1711125428168,1012
1711125429180,1057
1711125430237,1076
1711125431313,1039
1711125432352,1061
1711125433413,1078
1711125434491,1090
1711125435581,1037
1711125436617,968
1711125437585,993
1711125438579,1061
1711125439640,1076
1711125440716,1025
1711125441741,1035
1711125442776,1087
1711125443863,1062
1711125444925,1001
1711125445926,1057
1711125446983,1069
1711125448052,1021
1711125449073,1011
1711125450084,1049
1711125451133,1035
1711125452168,970
1711125453137,979
1711125454117,990
1711125455107,998
1711125456105,966
1711125457071,956
1711125458027,997
1711125459024,1030
1711125460054,1004
1711125461057,950
1711125462008,982
1711125462990,1016
1711125464006,1003
1711125465009,952
1711125465961,952
1711125466913,987
1711125467900,994
1711125468894,965
1711125469859,956
1711125470815,989
1711125471804,1017
1711125472821,978
1711125473799,982
1711125474781,1021
1711125475801,1008
1711125476809,974
1711125477784,1000
1711125478784,1019
1711125479803,989
1711125480792,967
1711125481759,988
1711125482747,998
1711125483745,960
1711125484705,922
1711125485627,942
1711125486569,983
1711125487552,1035
1711125488587,989
1711125489576,984
1711125490560,1046
1711125491606,1045
1711125492651,997
1711125493648,979
1711125494627,1018
1711125495645,1063
1711125496708,1044
1711125497752,1005
1711125498757,983
1711125499740,1021
1711125500761,1030
1711125501791,997
1711125502788,1005
1711125503793,1025
1711125504817,1057
1711125505875,1024
1711125506899,1015
1711125507913,1046
1711125508960,1071
1711125510031,1035
1711125511065,982
1711125512048,1013
1711125513061,1038
1711125514099,1019
1711125515118,989
1711125516107,1005
1711125517112,1017
1711125518129,985
1711125519113,966
1711125520080,992
1711125521072,1014
1711125522086,972
1711125523057,989
1711125524047,998
1711125525045,984
1711125526029,966
1711125526995,1016
1711125528011,1021
1711125529032,994
1711125530025,961
1711125530987,962
1711125531949,980
1711125532929,954
1711125533883,947
1711125534830,975
1711125535805,985
1711125536790,955
1711125537745,941
1711125538686,968
1711125539654,972
1711125540625,963
1711125541589,901
1711125542489,880
1711125543369,892
1711125544262,917
1711125545179,907
1711125546086,902
1711125546988,930
1711125547918,941
1711125548859,902
1711125549761,873
1711125550633,892
1711125551526,892
1711125552417,907
1711125553325,873
1711125554198,865
1711125555063,903
1711125555966,925
1711125556891,938
1711125557829,887
1711125558716,900
1711125559616,921
1711125560537,945
1711125561481,890
1711125562372,893
1711125563265,882
1711125564147,907
1711125565054,914
1711125565968,861
1711125566829,887
1711125567716,936
1711125568652,950
1711125569601,909
1711125570511,913
1711125571424,915
1711125572339,901
1711125573240,867
1711125574107,855
1711125574961,867
1711125575829,904
1711125576733,896
1711125577629,861
1711125578489,875
1711125579365,903
1711125580268,896
1711125581164,857
1711125582021,889
1711125582910,911
1711125583821,923
1711125584744,899
1711125585643,947
1711125586590,960
1711125587550,948
1711125588497,896
1711125589393,851
1711125590245,867
1711125591112,888
1711125592000,892
1711125592892,1001
1711125593893,1027
1711125594920,1033
1711125595953,974
1711125596927,971
1711125597897,987
1711125598885,931
1711125599816,888
1711125600704,882
1711125601585,915
1711125602501,937
1711125603438,877
1711125604315,892
1711125605207,938
1711125606145,951
1711125607096,913
1711125608009,938
1711125608947,950
1711125609897,966
1711125610863,919
1711125611782,904
1711125612686,940
1711125613625,1002
1711125614628,1060
1711125615688,985
1711125616673,983
1711125617656,1002
1711125618657,1004
1711125619662,957
1711125620619,865
1711125621484,877
1711125622361,913
1711125623273,921
1711125624195,914
1711125625109,980
1711125626089,1002
1711125627091,979
1711125628070,1014
1711125629084,1024
1711125630108,1000
1711125631108,937
1711125632045,936
1711125632981,945
1711125633926,989
1711125634915,992
1711125635907,979
1711125636886,938
1711125637824,1004
1711125638828,1102
1711125639929,1135
1711125641065,1069
1711125642134,1102
1711125643236,1072
1711125644308,1013
1711125645321,1029
1711125646350,1050
1711125647400,1005
1711125648405,989
1711125649393,1035
1711125650429,1007
1711125651436,1028
1711125652464,1042
1711125653505,1044
1711125654550,992
1711125655542,1026
1711125656568,1067
1711125657635,1105
1711125658740,1081
1711125659821,1052
1711125660873,1073
1711125661945,1056
1711125663001,982
1711125663984,975
1711125664959,1021
1711125665980,1075
1711125667055,1054
1711125668109,1056
1711125669165,1104
1711125670269,1127
1711125671396,1117
1711125672513,1025
1711125673537,1009
1711125674547,996
1711125675543,956
1711125676499,956
1711125677455,979
1711125678433,1003
1711125679437,1007
1711125680444,925
1711125681369,928
1711125682297,977
1711125683273,979
1711125684253,955
1711125685208,992
1711125686200,1024
1711125687224,973
1711125688197,958
1711125689155,1002
1711125690157,1034
1711125691191,1018
1711125692209,984
