RowIndex,Reason,OriginalLine
54,IBI out of range,Row 54 | Timestamp: 1712016478388 ms | PPG(Green=2147352, Red=2147352, Ir=2147352) | ACC(X=1.8729339838028, Y=0.941257059574127, Z=9.743088722229) | HR=90 bpm | IBI=0 ms | Participant=P15
55,IBI out of range,Row 55 | Timestamp: 1712016478427 ms | PPG(Green=2148982, Red=2148982, Ir=2148982) | ACC(X=1.85616850852966, Y=1.08256542682648, Z=9.71913814544678) | HR=90 bpm | IBI=0 ms | Participant=P15
56,IBI out of range,Row 56 | Timestamp: 1712016478470 ms | PPG(Green=2150734, Red=2150734, Ir=2150734) | ACC(X=1.87053883075714, Y=1.10172581672668, Z=9.78380489349365) | HR=90 bpm | IBI=0 ms | Participant=P15
57,IBI out of range,Row 57 | Timestamp: 1712016478507 ms | PPG(Green=2152550, Red=2152550, Ir=2152550) | ACC(X=1.83461308479309, Y=1.04184949398041, Z=9.73350811004639) | HR=89 bpm | IBI=0 ms | Participant=P15
58,IBI out of range,Row 58 | Timestamp: 1712016478547 ms | PPG(Green=2154498, Red=2154498, Ir=2154498) | ACC(X=1.88969933986664, Y=0.993948340415955, Z=9.6472864151001) | HR=89 bpm | IBI=0 ms | Participant=P15
59,IBI out of range,Row 59 | Timestamp: 1712016478588 ms | PPG(Green=2156371, Red=2156371, Ir=2156371) | ACC(X=1.74120581150055, Y=0.979577958583832, Z=9.60177993774414) | HR=89 bpm | IBI=0 ms | Participant=P15
60,IBI out of range,Row 60 | Timestamp: 1712016478627 ms | PPG(Green=2158358, Red=2158358, Ir=2158358) | ACC(X=1.85856366157532, Y=0.831084489822388, Z=9.6448917388916) | HR=89 bpm | IBI=0 ms | Participant=P15
61,IBI out of range,Row 61 | Timestamp: 1712016478667 ms | PPG(Green=2160108, Red=2160108, Ir=2160108) | ACC(X=1.82982289791107, Y=0.874195516109467, Z=9.61854553222656) | HR=89 bpm | IBI=0 ms | Participant=P15
62,IBI out of range,Row 62 | Timestamp: 1712016478708 ms | PPG(Green=2160843, Red=2160843, Ir=2160843) | ACC(X=1.85856366157532, Y=0.890960931777954, Z=9.6568660736084) | HR=89 bpm | IBI=0 ms | Participant=P15
63,IBI out of range,Row 63 | Timestamp: 1712016478748 ms | PPG(Green=2160504, Red=2160504, Ir=2160504) | ACC(X=1.79150199890137, Y=0.871800422668457, Z=9.66165637969971) | HR=89 bpm | IBI=0 ms | Participant=P15
64,IBI out of range,Row 64 | Timestamp: 1712016478789 ms | PPG(Green=2160198, Red=2160198, Ir=2160198) | ACC(X=1.91604495048523, Y=0.95562744140625, Z=9.69758224487305) | HR=89 bpm | IBI=0 ms | Participant=P15
65,IBI out of range,Row 65 | Timestamp: 1712016478828 ms | PPG(Green=2160419, Red=2160419, Ir=2160419) | ACC(X=1.86335372924805, Y=0.914911448955536, Z=9.6544713973999) | HR=90 bpm | IBI=0 ms | Participant=P15
