phoneTimestamp,sensorTimestamp,ecg
1712091644529,599618673369963968,13
1712091644537,599618673377623986,2
1712091644545,599618673385284004,-34
1712091644553,599618673392944022,-54
1712091644561,599618673400604040,-66
1712091644569,599618673408264058,-82
1712091644576,599618673415924076,-105
1712091644584,599618673423584094,-162
1712091644592,599618673431244112,-226
1712091644599,599618673438904130,-222
1712091644607,599618673446564148,-194
1712091644615,599618673454224166,-183
1712091644622,599618673461884184,-160
1712091644630,599618673469544202,-142
1712091644638,599618673477204220,-146
1712091644645,599618673484864238,-144
1712091644653,599618673492524256,-132
1712091644661,599618673500184274,-116
1712091644668,599618673507844292,-82
1712091644676,599618673515504310,-9
1712091644684,599618673523164328,119
1712091644691,599618673530824346,279
1712091644699,599618673538484364,364
1712091644707,599618673546144382,50
1712091644713,599618673553804400,-636
1712091644721,599618673561464418,-822
1712091644729,599618673569124436,-348
1712091644737,599618673576784454,-144
1712091644745,599618673584444472,-261
1712091644752,599618673592104490,-192
1712091644760,599618673599764508,-84
1712091644768,599618673607424526,-93
1712091644775,599618673615084544,-100
1712091644783,599618673622744562,-128
1712091644791,599618673630404580,-162
1712091644798,599618673638064598,-114
1712091644806,599618673645724616,-52
1712091644814,599618673653384634,-27
1712091644821,599618673661044652,-2
1712091644829,599618673668704670,9
1712091644837,599618673676364688,0
1712091644844,599618673684024706,27
1712091644852,599618673691684724,77
1712091644860,599618673699344742,109
1712091644867,599618673707004760,132
1712091644875,599618673714664778,144
1712091644883,599618673722324796,135
1712091644889,599618673729984814,151
1712091644897,599618673737644832,201
1712091644905,599618673745304850,226
1712091644913,599618673752964868,233
1712091644921,599618673760624886,247
1712091644929,599618673768284904,231
1712091644936,599618673775944922,199
1712091644944,599618673783604940,222
1712091644952,599618673791264958,268
1712091644959,599618673798924976,279
1712091644967,599618673806584994,251
1712091644975,599618673814245012,162
1712091644982,599618673821905030,54
1712091644990,599618673829565048,27
1712091644998,599618673837225066,29
1712091645005,599618673844885084,4
1712091645013,599618673852545102,-16
1712091645021,599618673860205120,-36
1712091645028,599618673867865138,-61
1712091645036,599618673875525156,-48
1712091645044,599618673883185174,-16
1712091645051,599618673890845192,-2
1712091645059,599618673898505210,2
1712091645067,599618673906165228,-2
1712091645073,599618673913825246,-20
1712091645081,599618673921485264,-22
1712091645089,599618673929145282,-6
1712091645097,599618673936805300,9
1712091645105,599618673944465318,25
1712091645113,599618673952125336,20
1712091645120,599618673959785354,-22
1712091645128,599618673967445372,-61
1712091645135,599618673975105390,-41
1712091645143,599618673982765408,4
1712091645151,599618673990425426,13
1712091645158,599618673998085444,11
1712091645166,599618674005745462,18
1712091645174,599618674013405480,-11
1712091645181,599618674021065498,-68
1712091645189,599618674028725516,-66
1712091645197,599618674036385534,-36
1712091645204,599618674044045552,-45
1712091645212,599618674051705570,-73
1712091645220,599618674059365588,-130
1712091645227,599618674067025606,-231
1712091645235,599618674074685624,-270
1712091645243,599618674082345642,-229
1712091645249,599618674090005660,-203
1712091645257,599618674097665678,-199
1712091645265,599618674105325696,-192
1712091645273,599618674112985714,-187
1712091645281,599618674120645732,-160
1712091645289,599618674128305750,-125
1712091645296,599618674135965768,-116
1712091645304,599618674143625786,-100
1712091645312,599618674151285804,-96
1712091645319,599618674158945822,-146
1712091645327,599618674166605840,-185
1712091645335,599618674174265858,-178
1712091645342,599618674181925876,-183
1712091645350,599618674189585894,-208
1712091645358,599618674197245912,-215
1712091645365,599618674204905930,-206
1712091645373,599618674212565948,-197
1712091645381,599618674220225966,-183
