RowIndex,Reason,OriginalLine
42,HeartRate out of range,Row 42 | Timestamp: 1711604683264 ms | PPG(Green=2119838, Red=2119838, Ir=2119838) | ACC(X=-1.98550152778625, Y=-1.62624311447144, Z=9.52753353118896) | HR=0 bpm | IBI=0 ms | Participant=P13
43,HeartRate out of range,Row 43 | Timestamp: 1711604683304 ms | PPG(Green=2119492, Red=2119492, Ir=2119492) | ACC(X=-2.06932854652405, Y=-1.54002118110657, Z=9.51316356658936) | HR=0 bpm | IBI=0 ms | Participant=P13
44,HeartRate out of range,Row 44 | Timestamp: 1711604683344 ms | PPG(Green=2119600, Red=2119600, Ir=2119600) | ACC(X=-1.92562520503998, Y=-1.583132147789, Z=9.54429912567139) | HR=0 bpm | IBI=0 ms | Participant=P13
45,HeartRate out of range,Row 45 | Timestamp: 1711604683385 ms | PPG(Green=2120005, Red=2120005, Ir=2120005) | ACC(X=-2.02142739295959, Y=-1.55678653717041, Z=9.50118827819824) | HR=0 bpm | IBI=0 ms | Participant=P13
46,HeartRate out of range,Row 46 | Timestamp: 1711604683426 ms | PPG(Green=2120290, Red=2120290, Ir=2120290) | ACC(X=-1.93999552726746, Y=-1.55678653717041, Z=9.53232383728027) | HR=0 bpm | IBI=0 ms | Participant=P13
47,HeartRate out of range,Row 47 | Timestamp: 1711604683465 ms | PPG(Green=2120417, Red=2120417, Ir=2120417) | ACC(X=-2.10525441169739, Y=-1.62145304679871, Z=9.44849681854248) | HR=0 bpm | IBI=0 ms | Participant=P13
48,HeartRate out of range,Row 48 | Timestamp: 1711604683505 ms | PPG(Green=2120569, Red=2120569, Ir=2120569) | ACC(X=-2.01663732528686, Y=-1.61666297912598, Z=9.51076793670654) | HR=0 bpm | IBI=539 ms | Participant=P13
49,HeartRate out of range,Row 49 | Timestamp: 1711604683545 ms | PPG(Green=2120704, Red=2120704, Ir=2120704) | ACC(X=-2.11962461471558, Y=-1.61666297912598, Z=9.62812614440918) | HR=0 bpm | IBI=0 ms | Participant=P13
50,HeartRate out of range,Row 50 | Timestamp: 1711604683585 ms | PPG(Green=2120793, Red=2120793, Ir=2120793) | ACC(X=-2.01184725761414, Y=-1.51128041744232, Z=9.53950881958008) | HR=0 bpm | IBI=0 ms | Participant=P13
51,HeartRate out of range,Row 51 | Timestamp: 1711604683626 ms | PPG(Green=2121164, Red=2121164, Ir=2121164) | ACC(X=-2.01903247833252, Y=-1.58552718162537, Z=9.45807647705078) | HR=0 bpm | IBI=0 ms | Participant=P13
52,HeartRate out of range,Row 52 | Timestamp: 1711604683665 ms | PPG(Green=2121517, Red=2121517, Ir=2121517) | ACC(X=-2.02861261367798, Y=-1.61905801296234, Z=9.46286678314209) | HR=0 bpm | IBI=0 ms | Participant=P13
53,HeartRate out of range,Row 53 | Timestamp: 1711604683705 ms | PPG(Green=2121719, Red=2121719, Ir=2121719) | ACC(X=-2.06214332580566, Y=-1.53523099422455, Z=9.67123699188232) | HR=0 bpm | IBI=0 ms | Participant=P13
54,HeartRate out of range,Row 54 | Timestamp: 1711604683746 ms | PPG(Green=2120994, Red=2120994, Ir=2120994) | ACC(X=-2.42619180679321, Y=-1.86814379692078, Z=10.2939510345459) | HR=0 bpm | IBI=0 ms | Participant=P13
55,HeartRate out of range,Row 55 | Timestamp: 1711604683786 ms | PPG(Green=2119473, Red=2119473, Ir=2119473) | ACC(X=-2.70641350746155, Y=-1.19992315769196, Z=10.7394323348999) | HR=0 bpm | IBI=0 ms | Participant=P13
56,HeartRate out of range,Row 56 | Timestamp: 1711604683827 ms | PPG(Green=2118120, Red=2118120, Ir=2118120) | ACC(X=-3.16865944862366, Y=-2.17471098899841, Z=11.0316286087036) | HR=0 bpm | IBI=0 ms | Participant=P13
57,HeartRate out of range,Row 57 | Timestamp: 1711604683869 ms | PPG(Green=2117084, Red=2117084, Ir=2117084) | ACC(X=-2.65611720085144, Y=-5.11823511123657, Z=9.64968109130859) | HR=0 bpm | IBI=0 ms | Participant=P13
58,HeartRate out of range,Row 58 | Timestamp: 1711604683906 ms | PPG(Green=2115606, Red=2115606, Ir=2115606) | ACC(X=-1.55199646949768, Y=0.265851229429245, Z=11.5609359741211) | HR=0 bpm | IBI=0 ms | Participant=P13
59,HeartRate out of range,Row 59 | Timestamp: 1711604683946 ms | PPG(Green=2115436, Red=2115436, Ir=2115436) | ACC(X=-0.35207325220108, Y=0.924491703510284, Z=9.87002658843994) | HR=0 bpm | IBI=0 ms | Participant=P13
60,HeartRate out of range,Row 60 | Timestamp: 1711604683986 ms | PPG(Green=2114135, Red=2114135, Ir=2114135) | ACC(X=0.613134384155273, Y=-0.313752353191376, Z=8.94314002990723) | HR=0 bpm | IBI=0 ms | Participant=P13
61,HeartRate out of range,Row 61 | Timestamp: 1711604684027 ms | PPG(Green=2112098, Red=2112098, Ir=2112098) | ACC(X=0.730492115020752, Y=-1.05382466316223, Z=9.26407718658447) | HR=0 bpm | IBI=0 ms | Participant=P13
62,HeartRate out of range,Row 62 | Timestamp: 1711604684066 ms | PPG(Green=2111640, Red=2111640, Ir=2111640) | ACC(X=1.44421887397766, Y=-1.93999552726746, Z=8.58867168426514) | HR=0 bpm | IBI=0 ms | Participant=P13
63,HeartRate out of range,Row 63 | Timestamp: 1711604684107 ms | PPG(Green=2114206, Red=2114206, Ir=2114206) | ACC(X=1.45140409469604, Y=-3.05369663238525, Z=6.82591009140015) | HR=0 bpm | IBI=0 ms | Participant=P13
64,HeartRate out of range,Row 64 | Timestamp: 1711604684147 ms | PPG(Green=2116538, Red=2116538, Ir=2116538) | ACC(X=2.17471098899841, Y=-5.93494939804077, Z=5.02722311019897) | HR=0 bpm | IBI=0 ms | Participant=P13
65,HeartRate out of range,Row 65 | Timestamp: 1711604684187 ms | PPG(Green=2118715, Red=2118715, Ir=2118715) | ACC(X=2.19866156578064, Y=-6.3780345916748, Z=6.38521957397461) | HR=0 bpm | IBI=0 ms | Participant=P13
66,HeartRate out of range,Row 66 | Timestamp: 1711604684228 ms | PPG(Green=2120538, Red=2120538, Ir=2120538) | ACC(X=1.16160225868225, Y=0.114962697029114, Z=10.8160734176636) | HR=0 bpm | IBI=0 ms | Participant=P13
67,HeartRate out of range,Row 67 | Timestamp: 1711604684267 ms | PPG(Green=2122931, Red=2122931, Ir=2122931) | ACC(X=2.31362438201904, Y=-3.23332595825195, Z=7.95637655258179) | HR=0 bpm | IBI=0 ms | Participant=P13
68,HeartRate out of range,Row 68 | Timestamp: 1711604684307 ms | PPG(Green=2121484, Red=2121484, Ir=2121484) | ACC(X=1.49930512905121, Y=-5.27151870727539, Z=2.304044008255) | HR=0 bpm | IBI=0 ms | Participant=P13
