x,y,z,timestamp
-21,-20,57,1712017381218750
-22,-20,58,1712017381250000
-20,-20,58,1712017381281250
-19,-19,57,1712017381312500
-19,-20,57,1712017381343750
-21,-20,58,1712017381375000
-23,-20,56,1712017381406250
-23,-19,56,1712017381437500
-22,-20,57,1712017381468750
-23,-19,57,1712017381500000
-22,-19,56,1712017381531250
-21,-19,57,1712017381562500
-20,-19,57,1712017381593750
-21,-20,58,1712017381625000
-21,-20,56,1712017381656250
-21,-20,56,1712017381687500
-21,-21,57,1712017381718750
-22,-21,57,1712017381750000
-22,-20,56,1712017381781250
-21,-19,57,1712017381812500
-21,-19,58,1712017381843750
-21,-20,56,1712017381875000
-21,-19,56,1712017381906250
-21,-19,56,1712017381937500
-22,-20,57,1712017381968750
-22,-20,56,1712017382000000
-22,-21,56,1712017382031250
-23,-22,56,1712017382062500
-22,-22,57,1712017382093750
-21,-21,56,1712017382125000
-22,-22,56,1712017382156250
-23,-21,56,1712017382187500
-22,-21,55,1712017382218750
-22,-21,55,1712017382250000
-22,-21,56,1712017382281250
-23,-21,56,1712017382312500
-24,-20,56,1712017382343750
-23,-20,56,1712017382375000
-22,-20,56,1712017382406250
-22,-20,56,1712017382437500
-22,-20,56,1712017382468750
-23,-20,56,1712017382500000
-22,-20,56,1712017382531250
-22,-20,56,1712017382562500
-22,-21,56,1712017382593750
-21,-21,56,1712017382625000
-22,-21,56,1712017382656250
-22,-21,56,1712017382687500
-22,-21,56,1712017382718750
-22,-20,56,1712017382750000
-24,-21,56,1712017382781250
-23,-20,56,1712017382812500
-22,-21,56,1712017382843750
-22,-21,56,1712017382875000
-23,-21,56,1712017382906250
-23,-20,56,1712017382937500
-22,-20,56,1712017382968750
-23,-21,56,1712017383000000
-22,-21,56,1712017383031250
-22,-21,56,1712017383062500
-23,-21,56,1712017383093750
-23,-21,56,1712017383125000
-22,-20,56,1712017383156250
-22,-21,56,1712017383187500
-23,-20,56,1712017383218750
-23,-21,56,1712017383250000
-23,-21,56,1712017383281250
-23,-21,56,1712017383312500
-23,-21,56,1712017383343750
-23,-20,56,1712017383375000
-23,-20,56,1712017383406250
-23,-21,56,1712017383437500
-23,-21,56,1712017383468750
-23,-21,56,1712017383500000
-23,-21,56,1712017383531250
-23,-21,56,1712017383562500
-23,-21,56,1712017383593750
-22,-21,56,1712017383625000
-23,-21,56,1712017383656250
-23,-21,56,1712017383687500
-23,-21,56,1712017383718750
-23,-20,56,1712017383750000
-23,-21,56,1712017383781250
-23,-21,56,1712017383812500
-23,-21,56,1712017383843750
-23,-20,56,1712017383875000
-23,-20,56,1712017383906250
-23,-20,56,1712017383937500
-23,-20,56,1712017383968750
-23,-21,56,1712017384000000
-23,-21,56,1712017384031250
-23,-21,56,1712017384062500
-23,-21,56,1712017384093750
-23,-21,56,1712017384125000
-23,-21,56,1712017384156250
-23,-20,56,1712017384187500
-23,-20,56,1712017384218750
-23,-21,56,1712017384250000
-23,-21,56,1712017384281250
-23,-20,56,1712017384312500
-23,-21,56,1712017384343750
-23,-20,56,1712017384375000
-23,-20,56,1712017384406250
-23,-21,56,1712017384437500
-23,-21,56,1712017384468750
-23,-21,56,1712017384500000
-23,-20,56,1712017384531250
-23,-21,56,1712017384562500
-23,-21,56,1712017384593750
-22,-20,56,1712017384625000
-23,-20,56,1712017384656250
-23,-21,56,1712017384687500
-23,-21,56,1712017384718750
